"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Austria","AUT","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","64.4","62.91","67.12","69.38","61.13","65.54","69.8","72.15","71.4","71.24","68.99","67.62","71.36","73.13","75.25","75.16","74.22","77.32","78.48","82.43","79.07","90.03","84.01","86.55","83.32","84.93","84.06","87.72","84.19","94.44","94.45","93.18","92.64","96.57","93.37","94.49","97.7","101.22","103.26","98.16","99.63","99.04","97.18","101.79","100.32","97.89","100.86","105.78","104.13","104.68","109.6","101.25","101.9","108.71","","",
"Azerbaijan","AZE","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.39","63.99","58.42","56.6","59.68","57.05","60.77","67.52","73.72","81.97","87.05","91.55","91.78","102.91","105.31","107.61","114.64","125.47","122.78","130.72","137.94","143.2","140.3","","",
"Burundi","BDI","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","63.48","63.72","64.55","69.72","70.1","70.37","73.08","75.28","75.04","75.8","77.74","71.05","80.09","74.28","81.54","83.23","85.37","79.07","79.63","78.41","83.2","81.93","80.54","80.22","90.94","95.84","98.38","101.44","95.66","102.4","105.31","107.49","105.48","90.52","95","96.76","97.61","91.38","94.57","90.82","98.09","100.61","104.25","98.37","100.45","101.18","104.45","105.67","112.45","113.78","111.71","98.14","144.83","123.6","","",
"Belgium","BEL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","106.78","100.43","104.19","102.03","105.76","99.64","94.6","97.04","92.97","97.56","99.46","102.37","96.62","100.99","107.63","","",
"Benin","BEN","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","21.62","20.06","20.32","21.27","22.19","21.36","23.57","25.44","24.61","25.74","25.81","25.99","26.88","25.27","24.93","29.2","28.23","31.15","32.75","30.89","30.2","30.38","30.76","38.92","39.15","41.15","36.09","43.14","44.78","48.06","51.81","52.18","54.93","57.88","61.49","67.14","72.61","75.39","81.03","85.28","85.9","92.17","97.45","103.34","101.08","95.58","99.09","118.71","119.94","125.27","134.03","142.14","150.79","173.8","","",
"Burkina Faso","BFA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","21.62","23.76","23.91","26.27","26.95","27.01","27.82","29.2","28.76","29.34","27.97","26.57","23.82","27.06","30.59","27.57","28.41","30.86","32.58","30.48","33.94","34.04","34.84","35.06","43.56","49","45.23","52.25","50.54","52.06","62.66","64.76","66.62","65.33","65.74","70.75","64.84","76.52","77.98","68.27","89.4","87.94","101.45","92.11","103.79","104.11","91.96","116.95","108.63","125.42","114.91","131.7","126.75","136.31","","",
"Bangladesh","BGD","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","35.74","34.11","38.8","39.08","39.34","37.66","42.67","43.67","45.47","43.28","40.17","39.41","43.64","42.22","46.7","44.6","47.63","49.35","48.96","49.86","49.57","51.54","52.73","53.04","54.87","55.52","55.63","56.51","62.08","63.71","65.11","65.99","65.91","63.37","66.22","69.91","70.8","73.41","83.5","89.36","87.43","90.1","92.7","90.96","102.81","106.23","112.45","121.11","121.9","130.02","132.59","133.55","136.54","143.38","","",
"Bulgaria","BGR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","102.65","110.43","112.59","114.95","127.14","143.03","140.46","143.02","145.22","139.39","141.45","146.84","147.03","138.87","141.63","154.57","143.27","152.66","158.34","153.64","165.93","174.51","159.03","172.72","150.61","165.08","157.02","156.99","164.2","179.12","163.87","150.24","118.29","122.79","134.43","110.25","118.95","118.09","120.73","110.5","112.49","105.87","91.82","111.55","90.91","97.54","74.56","102.65","97.12","107.06","108.12","100.58","121.73","121.35","","",
"Bahrain","BHR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","54.26","54.63","55.27","55.13","57.08","55.96","56.93","55.8","57.84","59.27","58.25","60.9","62.97","67.55","96.87","122.56","149.71","155.03","162.18","174.22","89.9","95.85","90.21","101.78","115.84","104.01","135.01","109.76","115.66","91.1","96.26","108.39","105.84","112.84","119.86","117.25","115.46","126.65","118.92","122.34","105.63","108.47","103.54","90.92","91.03","118.05","114.44","111.14","127.29","112.53","156.38","156.85","192.22","166.68","","",
"Bahamas, The","BHS","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","34.76","36.2","38.29","40.03","42.35","45.94","48.21","48.72","46.06","48","46.83","51.47","66.91","70.55","70.3","78.96","67.59","63.17","60.04","59.46","69.58","66.08","63.57","66.89","66.47","64.29","67.76","68.88","73.14","72.94","65.29","64.94","64.81","62.38","79.49","90.78","85.35","106.44","109.85","84.78","88.47","86.69","94.82","99.09","98.65","102.26","106.27","107.56","104.65","124.15","127.41","128.68","129.92","131.52","","",
"Bosnia and Herzegovina","BIH","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.28","76.87","66.14","62.98","58.95","74.1","83.17","79.73","67.63","72.24","76.34","73.44","99.45","97.75","102.8","101.69","110.97","115.16","108.08","109.24","98.33","113.39","98.27","","",
"Belarus","BLR","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102.7","108.63","90.39","87.22","90.37","82.51","82.68","76.34","80.57","82.71","83.98","85.43","97.98","97.86","104.16","107.55","116.88","117.85","118.04","115.14","123.7","117.37","129.21","","",
"Belize","BLZ","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","13","11.11","12.17","14.72","15.77","18.21","20.19","22.66","20.45","21.77","23.37","24.42","26.67","29.15","27.04","25.65","31.61","35.3","32.62","37.63","37.36","39.71","38.22","38.4","37.87","39.41","43.78","42.14","43.18","50.81","49.76","59.61","66.83","60.62","65.31","73.33","75.58","73.04","78.75","86.39","87.83","82.7","86.2","99.78","96.8","103.42","95.67","94.77","93.86","93.18","87.13","102.12","96.27","97.58","","",
"Bermuda","BMU","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","125.64","126.74","139.65","148.79","143.15","153.25","152.41","140.9","119.86","131.31","118.59","97.26","90.2","83.8","85.44","85.43","81.28","83.12","86.68","89.17","91.42","94.05","95.66","91.33","92.25","89.09","93.37","97.46","106.42","112.76","109.38","106.32","103.32","99.28","97.09","90.68","93.59","98.66","100.34","102.24","104.18","100.52","103","99.54","99.54","100.92","104.45","109.29","111.05","111.43","113.09","117.2","114.92","114.98","","",
"Bolivia","BOL","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","19.21","19.9","21.16","21.71","22.65","23.65","24.36","26.09","26.08","28.32","29.16","31.8","33.67","34.71","37.22","38.34","37.89","37.84","38.11","41.97","42.32","43.34","36.38","41.8","45.72","46.04","47.93","50.16","52.19","58.09","59.78","56.97","60.63","64.8","70.25","72.57","74.44","77.36","78.56","82.57","84.17","89.18","94.06","93.52","100","106.48","112.75","113.77","120.28","119.84","121.93","134.24","139.62","146.52","","",
"Brazil","BRA","Food production index (2004-2006 = 100)","AG.PRD.FOOD.XD","","14.8","15.31","15.81","16.62","18.54","18.05","19.44","20.07","20.74","22.11","22.57","23.98","23.96","25.27","26.5","29.22","30.52","29.82","31.24","35.35","36.08","37.95","37.9","40.75","43.69","42.61","46.32","48.54","50.55","52.54","54.82","58.49","58.94","63.61","67.8","67.2","70.01","70.67","75.77","77.89","82.18","86.65","93.88","97.46","99.36","103.18","110.7","117.7","116.76","123.42","128.51","126.98","136.24","136.52","","",
