,country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23,Belarus,BLR,,,,2.0,37.0,84.0,501.0,303.0,290.0,1507.0,2519.0,3696.0,6364.0,7815.0,8244.0,8857.0,9371.0,4970.0,5384.0,5525.0,5743.0,5925.0,6191.0,4397.0,4300.0,4125.0,3824.0
24,Belize,BLZ,,,,,8.0,8.0,3.0,,,11.0,12.0,,1.0,10.0,9.0,8.0,18.0,17.0,20.0,17.0,23.0,32.0,39.0,40.0,45.0,51.0,53.0
25,Bermuda,BMU,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,
26,Bolivia,BOL,731.0,67.0,28.0,41.0,177.0,180.0,177.0,161.0,183.0,174.0,175.0,156.0,219.0,264.0,285.0,269.0,374.0,428.0,454.0,573.0,590.0,611.0,618.0,601.0,600.0,571.0,515.0
27,Brazil,BRA,14.0,11.0,11.0,12.0,41.0,53.0,85.0,104.0,136.0,196.0,224.0,254.0,441.0,378.0,403.0,370.0,707.0,1624.0,1404.0,973.0,994.0,1045.0,1076.0,985.0,977.0,895.0,793.0
28,Barbados,BRB,,,,,4.0,3.0,2.0,3.0,5.0,4.0,8.0,7.0,9.0,11.0,7.0,8.0,27.0,38.0,34.0,29.0,32.0,45.0,55.0,67.0,86.0,99.0,144.0
29,Brunei Darussalam,BRN,,,,,,3.0,,,,,,,2.0,1.0,1.0,49.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
30,Bhutan,BTN,,9504.0,75442.0,85334.0,103271.0,104750.0,106822.0,108703.0,105689.0,107619.0,108945.0,110845.0,112523.0,103978.0,105255.0,106537.0,108073.0,110598.0,104965.0,89070.0,75070.0,57989.0,41590.0,31567.0,23642.0,17720.0,11732.0
31,Botswana,BWA,3.0,3.0,3.0,4.0,21.0,25.0,23.0,17.0,16.0,10.0,3.0,2.0,5.0,5.0,6.0,4.0,12.0,16.0,26.0,30.0,53.0,85.0,127.0,168.0,237.0,308.0,265.0
32,Central African Republic,CAF,100.0,320.0,325.0,313.0,266.0,242.0,240.0,149.0,173.0,196.0,139.0,28704.0,25376.0,35400.0,31069.0,42890.0,71685.0,98104.0,125106.0,159554.0,164905.0,162862.0,164568.0,252867.0,412041.0,471105.0,490869.0
33,Canada,CAN,,4.0,4.0,4.0,4.0,4.0,8.0,11.0,15.0,18.0,26.0,4.0,51.0,60.0,56.0,122.0,95.0,530.0,101.0,99.0,90.0,109.0,123.0,99.0,95.0,80.0,76.0
34,Central Europe and the Baltics,CEB,90730.0,60785.0,218579.0,230375.0,163574.0,304331.0,349489.0,379281.0,362720.0,373495.0,351757.0,306045.0,320685.0,273473.0,247938.0,167220.0,128701.0,118509.0,112055.0,90157.0,78037.0,73982.0,72791.0,58762.0,48672.0,41484.0,34843.0
35,Switzerland,CHE,,,,,8.0,27.0,33.0,55.0,77.0,91.0,70.0,61.0,56.0,35.0,12.0,16.0,36.0,31.0,32.0,18.0,19.0,20.0,17.0,15.0,19.0,17.0,
