,country,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
101,IDA & IBRD total,IBT,14572680.0,14293150.0,14376351.0,13728999.0,13600902.0,12399214.0,11612831.0,10623098.0,10102253.0,10116310.0,10676792.0,10447927.0,9634364.0,8684751.0,8639438.0,7965843.0,9120803.0,10681900.0,9786487.0,9941595.0,10119981.0,9993365.0,10095568.0,11322340.0,14004683.0,15702456.0,16750699.0
102,IDA total,IDA,11910825.0,11350456.0,10280171.0,9990174.0,9758010.0,8622017.0,7472301.0,6610311.0,6283482.0,6477594.0,7447342.0,7280198.0,6078895.0,5561510.0,5854557.0,5511533.0,5394314.0,6050735.0,5711586.0,6049118.0,6372127.0,6541936.0,7448982.0,9376848.0,11892909.0,13643826.0,14749457.0
103,IDA blend,IDB,623.0,719.0,1327.0,1818.0,43641.0,21465.0,101630.0,117115.0,90215.0,258125.0,176603.0,128628.0,133672.0,113536.0,119290.0,123351.0,110796.0,111909.0,121581.0,133859.0,142520.0,137899.0,146673.0,143457.0,495758.0,532728.0,395033.0
104,Indonesia,IDN,7169.0,6164.0,6829.0,7924.0,8726.0,9836.0,11365.0,8799.0,9053.0,9020.0,9149.0,8970.0,9906.0,16240.0,27919.0,34384.0,34728.0,20558.0,19345.0,18213.0,16892.0,16079.0,15523.0,14786.0,14408.0,13956.0,13046.0
105,IDA only,IDX,11910202.0,11349737.0,10278844.0,9988356.0,9714369.0,8600552.0,7370671.0,6493196.0,6193267.0,6219469.0,7270739.0,7151570.0,5945223.0,5447974.0,5735267.0,5388182.0,5283518.0,5938826.0,5590005.0,5915259.0,6229607.0,6404037.0,7302309.0,9233391.0,11397151.0,13111098.0,14354424.0
107,India,IND,198.0,408.0,1019.0,1492.0,3263.0,5011.0,7550.0,8924.0,9663.0,9845.0,11399.0,11571.0,14349.0,13706.0,13345.0,16285.0,17811.0,20466.0,19569.0,19514.0,17769.0,16232.0,14258.0,11041.0,10436.0,9881.0,7243.0
109,Ireland,IRL,,,,,3.0,2.0,2.0,1.0,,,3.0,3.0,7.0,6.0,3.0,21.0,4.0,10.0,7.0,7.0,8.0,8.0,9.0,9.0,10.0,9.0,
110,"Iran, Islamic Rep.",IRN,75889.0,130366.0,128781.0,115523.0,121287.0,112364.0,104129.0,93993.0,89979.0,86855.0,88278.0,92491.0,138364.0,122530.0,115162.0,99428.0,102483.0,68397.0,69061.0,72774.0,68791.0,72361.0,75940.0,75070.0,82191.0,84950.0,94042.0
111,Iraq,IRQ,1133805.0,1321853.0,1343824.0,771077.0,749834.0,718719.0,714730.0,707338.0,675030.0,642886.0,526179.0,530511.0,422512.0,368580.0,311884.0,262299.0,1450905.0,2309245.0,1903519.0,1785212.0,1683579.0,1428308.0,746206.0,401466.0,369954.0,264094.0,315998.0
112,Iceland,ISL,,,,,,,4.0,5.0,5.0,5.0,5.0,,13.0,12.0,10.0,7.0,31.0,7.0,7.0,4.0,4.0,3.0,3.0,2.0,1.0,,
113,Israel,ISR,16.0,28.0,40.0,118.0,887.0,937.0,1126.0,987.0,835.0,478.0,416.0,363.0,564.0,625.0,672.0,632.0,882.0,1541.0,1494.0,1310.0,1301.0,1335.0,1340.0,1041.0,979.0,802.0,467.0
114,Italy,ITA,,,1.0,3.0,146.0,121.0,112.0,112.0,79.0,52.0,48.0,34.0,224.0,207.0,192.0,217.0,105.0,90.0,62.0,45.0,50.0,58.0,66.0,66.0,67.0,70.0,44.0
115,Jamaica,JAM,,,,3.0,7.0,10.0,18.0,21.0,27.0,33.0,37.0,37.0,147.0,259.0,350.0,489.0,660.0,766.0,826.0,909.0,1057.0,1250.0,1407.0,1503.0,1692.0,1868.0,1988.0
116,Jordan,JOR,55.0,112.0,183.0,242.0,443.0,513.0,708.0,719.0,899.0,973.0,919.0,775.0,1287.0,1162.0,1169.0,1789.0,1604.0,1787.0,1890.0,2129.0,2254.0,2250.0,2368.0,1632.0,1718.0,1841.0,1889.0
117,Japan,JPN,,,,,7.0,3.0,2.0,2.0,3.0,3.0,5.0,5.0,19.0,19.0,21.0,13.0,168.0,521.0,185.0,150.0,152.0,176.0,172.0,157.0,262.0,145.0,53.0
118,Kazakhstan,KAZ,,,1.0,2.0,27.0,139.0,40163.0,40774.0,20459.0,9057.0,2537.0,2803.0,6315.0,6559.0,6121.0,4316.0,7376.0,5235.0,4825.0,3744.0,3632.0,3500.0,3571.0,2123.0,2224.0,2267.0,2326.0
119,Kenya,KEN,10.0,33.0,63.0,85.0,8774.0,9327.0,9390.0,9570.0,6046.0,6138.0,2373.0,2559.0,3098.0,3163.0,3847.0,4640.0,5356.0,7546.0,9688.0,9620.0,8602.0,8745.0,8950.0,8586.0,8553.0,7906.0,7506.0
120,Kyrgyz Republic,KGZ,,,,1.0,14.0,22.0,17118.0,16320.0,7449.0,4003.0,748.0,685.0,2950.0,3141.0,3292.0,3122.0,2488.0,2254.0,2517.0,2612.0,2744.0,3162.0,3489.0,2301.0,2451.0,2502.0,2546.0
121,Cambodia,KHM,54364.0,43168.0,28851.0,9753.0,8538.0,61225.0,62244.0,103246.0,76576.0,38320.0,36855.0,34759.0,33456.0,31407.0,18121.0,17806.0,17965.0,17704.0,17253.0,17025.0,16314.0,15205.0,14024.0,13747.0,13071.0,12803.0,12408.0
122,Kiribati,KIR,,,,,,,,,,,,,3.0,16.0,32.0,33.0,41.0,38.0,38.0,33.0,33.0,33.0,33.0,20.0,3.0,2.0,
123,St. Kitts and Nevis,KNA,,,,,,,,,,,,,2.0,1.0,1.0,31.0,2.0,2.0,4.0,4.0,7.0,9.0,12.0,15.0,23.0,28.0,44.0
124,"Korea, Rep.",KOR,,5.0,5.0,7.0,17.0,30.0,42.0,48.0,65.0,75.0,73.0,83.0,245.0,237.0,272.0,268.0,1335.0,1188.0,1104.0,573.0,585.0,514.0,558.0,500.0,481.0,353.0,243.0
125,Kuwait,KWT,44.0,47.0,74.0,89.0,756.0,762.0,854.0,825.0,830.0,992.0,692.0,701.0,709.0,616.0,398.0,381.0,617.0,746.0,854.0,938.0,988.0,1120.0,1197.0,977.0,981.0,1085.0,1008.0
126,Latin America & Caribbean (excluding high income),LAC,155364.0,160013.0,157851.0,141105.0,152256.0,141146.0,136499.0,130699.0,118899.0,110014.0,82444.0,84247.0,93234.0,89441.0,94662.0,116511.0,162636.0,623491.0,445447.0,460992.0,468993.0,482111.0,489295.0,495105.0,461296.0,446690.0,418973.0
127,Lao PDR,LAO,135633.0,122326.0,96157.0,74501.0,54896.0,58193.0,46909.0,37367.0,29017.0,21396.0,16094.0,12631.0,11235.0,10363.0,16114.0,24442.0,26447.0,10013.0,8598.0,8398.0,8414.0,8088.0,7984.0,7745.0,7482.0,7363.0,7224.0
128,Lebanon,LBN,6993.0,8501.0,10257.0,10635.0,15654.0,13515.0,10890.0,10235.0,9786.0,7685.0,10215.0,8763.0,26320.0,24932.0,19866.0,18323.0,12252.0,13094.0,12967.0,16260.0,15869.0,15013.0,15106.0,3819.0,4273.0,4369.0,4709.0
129,Liberia,LBR,735689.0,673435.0,520915.0,704051.0,797835.0,744637.0,784008.0,493340.0,365398.0,294694.0,266930.0,244608.0,275422.0,353344.0,335467.0,231139.0,160548.0,91540.0,75213.0,71599.0,70129.0,66780.0,23428.0,17558.0,13572.0,9991.0,6513.0
130,Libya,LBY,581.0,840.0,686.0,597.0,672.0,624.0,281.0,274.0,433.0,568.0,619.0,888.0,1456.0,1570.0,1720.0,1575.0,1573.0,1954.0,2084.0,2202.0,2309.0,4384.0,5251.0,3314.0,4203.0,6090.0,8796.0
131,St. Lucia,LCA,,,,,,2.0,2.0,3.0,5.0,9.0,11.0,9.0,10.0,16.0,34.0,99.0,163.0,227.0,288.0,314.0,334.0,433.0,566.0,710.0,922.0,1011.0,993.0
132,Latin America & Caribbean,LCN,170755.0,174622.0,172324.0,156535.0,168121.0,155710.0,149535.0,140589.0,126018.0,111628.0,83389.0,85154.0,95056.0,91109.0,96000.0,117676.0,163820.0,624949.0,446951.0,462809.0,470692.0,484067.0,491274.0,496581.0,462803.0,448164.0,420384.0
133,Least developed countries: UN classification,LDC,12258482.0,11676810.0,10465792.0,10198656.0,9888437.0,8741225.0,7447627.0,6621123.0,6404067.0,6644001.0,7738576.0,7612940.0,6279401.0,5640594.0,5841885.0,5490792.0,5435099.0,6077017.0,5704276.0,5993761.0,6277231.0,6329582.0,6458388.0,6659971.0,7415362.0,8143447.0,8760534.0
134,Low income,LIC,11070208.0,10803428.0,9316414.0,8903050.0,8687049.0,7513040.0,6203112.0,5479113.0,5269791.0,5305175.0,6350011.0,6237530.0,4967369.0,4376540.0,4552355.0,4237947.0,4156499.0,5007220.0,4757670.0,4934227.0,5213810.0,5177787.0,5366898.0,5441437.0,6191534.0,6972967.0,7529271.0
136,Sri Lanka,LKA,208271.0,209349.0,128115.0,91845.0,114456.0,107589.0,109578.0,122287.0,114976.0,116709.0,124160.0,122420.0,133239.0,122010.0,114050.0,108139.0,116966.0,134952.0,137752.0,145721.0,141074.0,136617.0,132731.0,123084.0,122010.0,121443.0,117447.0
137,Lower middle income,LMC,2047467.0,1794114.0,2293143.0,2404830.0,2391751.0,2366921.0,2567059.0,2408437.0,2309044.0,2494961.0,2284608.0,2486740.0,2700387.0,2523844.0,2516174.0,2483497.0,2437191.0,2155884.0,2053752.0,1956058.0,1978570.0,2172875.0,2777159.0,4561189.0,6562519.0,7625248.0,8106901.0
138,Low & middle income,LMY,14553641.0,14339621.0,14463922.0,13804031.0,13654445.0,12462223.0,11692490.0,10707619.0,10194313.0,10237370.0,10805705.0,10811962.0,10062880.0,9034811.0,8994006.0,8313967.0,9474206.0,11026869.0,10131428.0,10041346.0,10218237.0,10092855.0,10195967.0,11424412.0,14108193.0,15805984.0,16853714.0
139,Lesotho,LSO,4.0,4.0,,55.0,,,2.0,3.0,3.0,3.0,4.0,1.0,4.0,6.0,7.0,6.0,9.0,7.0,8.0,10.0,11.0,11.0,13.0,15.0,17.0,17.0,5.0
140,Late-demographic dividend,LTE,927032.0,987566.0,1596696.0,1637977.0,1679742.0,1540518.0,1638091.0,1621576.0,1582679.0,1422034.0,1153102.0,1145064.0,1483651.0,1427636.0,1348941.0,1305885.0,1284306.0,1544584.0,1426559.0,1490209.0,1478897.0,1452763.0,1445043.0,1225306.0,1196760.0,1166131.0,1138128.0
141,Lithuania,LTU,4.0,4.0,8.0,11.0,63.0,109.0,662.0,649.0,282.0,258.0,163.0,216.0,1371.0,1541.0,1482.0,1448.0,942.0,466.0,490.0,501.0,515.0,528.0,491.0,220.0,183.0,144.0,64.0
142,Luxembourg,LUX,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,,1.0,2.0,2.0,
143,Latvia,LVA,,,4.0,4.0,93.0,160.0,1958.0,1915.0,1013.0,907.0,491.0,619.0,3082.0,3177.0,2826.0,2430.0,1424.0,662.0,763.0,791.0,713.0,709.0,662.0,233.0,213.0,193.0,165.0
144,"Macao SAR, China",MAC,,,,,,,1.0,1.0,1.0,1.0,6.0,8.0,15.0,15.0,20.0,9.0,9.0,9.0,9.0,9.0,10.0,10.0,1.0,1.0,5.0,5.0,
146,Morocco,MAR,15.0,44.0,91.0,105.0,180.0,301.0,297.0,310.0,353.0,377.0,392.0,363.0,1269.0,1291.0,1319.0,2920.0,4710.0,4039.0,3533.0,2286.0,2284.0,2312.0,2407.0,1308.0,1539.0,1786.0,2230.0
147,Monaco,MCO,,,,,,,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,,,,1.0,2.0,4.0,4.0,3.0,3.0,3.0,
148,Moldova,MDA,,,,6.0,458.0,529.0,5829.0,5141.0,2754.0,2407.0,2657.0,3737.0,10130.0,11146.0,11937.0,12064.0,11680.0,4918.0,5555.0,5925.0,6200.0,6264.0,6148.0,2207.0,2233.0,2289.0,2291.0
149,Madagascar,MDG,,1.0,1.0,1.0,3.0,79.0,79.0,76.0,66.0,54.0,54.0,40.0,53.0,88.0,135.0,203.0,260.0,284.0,277.0,274.0,270.0,289.0,301.0,296.0,281.0,286.0,277.0
150,Maldives,MDV,1.0,1.0,,,,,1.0,1.0,2.0,3.0,4.0,3.0,3.0,1.0,3.0,13.0,17.0,17.0,16.0,16.0,19.0,21.0,24.0,31.0,36.0,42.0,48.0
151,Middle East & North Africa,MEA,1228229.0,1530356.0,1584149.0,985856.0,1019356.0,950070.0,945300.0,916343.0,878737.0,864304.0,761647.0,1005897.0,1063565.0,915116.0,845300.0,776961.0,1943227.0,2779179.0,2372429.0,2017484.0,1908927.0,1661705.0,1696515.0,3075024.0,4476085.0,5377506.0,6097604.0
152,Mexico,MEX,,,,,248.0,361.0,520.0,665.0,1016.0,1359.0,1291.0,1594.0,1670.0,1652.0,1744.0,2313.0,3304.0,5572.0,6162.0,6435.0,6816.0,7472.0,8435.0,9390.0,10666.0,11333.0,10367.0
153,Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,3.0,3.0,
154,Middle income,MIC,3483433.0,3536193.0,5147508.0,4900981.0,4967396.0,4949183.0,5489378.0,5228506.0,4924522.0,4932195.0,4455694.0,4574432.0,5095511.0,4658271.0,4441651.0,4076020.0,5317707.0,6019649.0,5373758.0,5107119.0,5004427.0,4915068.0,4829069.0,5982975.0,7916659.0,8833017.0,9324443.0
155,"Macedonia, FYR",MKD,,,,1897.0,347.0,12883.0,13041.0,12747.0,1939.0,2089.0,2176.0,12197.0,8107.0,5982.0,5106.0,8600.0,7940.0,8077.0,7521.0,7926.0,7889.0,7684.0,7589.0,1628.0,1759.0,1777.0,1705.0
156,Mali,MLI,1.0,14704.0,71189.0,98572.0,172905.0,77219.0,55198.0,18015.0,3702.0,387.0,364.0,311.0,531.0,461.0,483.0,520.0,594.0,4494.0,1758.0,2926.0,3663.0,4295.0,149943.0,152828.0,139267.0,154213.0,156390.0
157,Malta,MLT,1.0,1.0,1.0,,7.0,13.0,18.0,14.0,17.0,22.0,16.0,7.0,8.0,7.0,3.0,5.0,28.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,5.0,1.0,
158,Myanmar,MMR,28.0,40053.0,245130.0,281574.0,204510.0,152298.0,143017.0,135772.0,133407.0,131663.0,137128.0,145856.0,148501.0,151384.0,161013.0,164864.0,202826.0,191313.0,184413.0,406669.0,415670.0,414626.0,415371.0,479606.0,479006.0,451805.0,490265.0
159,Middle East & North Africa (excluding high income),MNA,1228129.0,1530228.0,1583981.0,985582.0,1017396.0,947987.0,942969.0,914044.0,876555.0,862424.0,760330.0,1004722.0,1062067.0,913536.0,843862.0,775698.0,1940665.0,2775644.0,2368897.0,2013969.0,1905279.0,1657643.0,1692084.0,3072008.0,4473003.0,5374340.0,6094643.0
160,Montenegro,MNE,,,,,,,,,,,,,,,,,135.0,557.0,1283.0,2582.0,3246.0,3698.0,4054.0,546.0,607.0,651.0,708.0
161,Mongolia,MNG,1.0,1.0,1.0,1.0,4.0,4.0,7.0,9.0,19.0,25.0,23.0,60.0,280.0,324.0,442.0,654.0,868.0,1101.0,1333.0,1495.0,1724.0,1985.0,2114.0,2059.0,2163.0,2199.0,2267.0
163,Mozambique,MOZ,1247992.0,1316636.0,1445474.0,1172550.0,234497.0,125562.0,34657.0,33652.0,59.0,35.0,30.0,46.0,130.0,111.0,104.0,104.0,231.0,222.0,208.0,136.0,131.0,155.0,160.0,56.0,58.0,57.0,33.0
164,Mauritania,MRT,65999.0,79881.0,79594.0,67894.0,68043.0,84312.0,83234.0,70294.0,70224.0,29948.0,29752.0,29862.0,30137.0,30525.0,31131.0,31651.0,33428.0,33108.0,45601.0,39143.0,37733.0,39929.0,33765.0,34252.0,34113.0,34660.0,36228.0
165,Mauritius,MUS,,,,,1.0,13.0,13.0,3.0,15.0,8.0,35.0,35.0,43.0,61.0,19.0,27.0,80.0,71.0,24.0,23.0,28.0,42.0,62.0,81.0,94.0,103.0,101.0
166,Malawi,MWI,53.0,50.0,50.0,44.0,60.0,37.0,39.0,34.0,28.0,34.0,33.0,25.0,48.0,59.0,94.0,101.0,113.0,97.0,106.0,130.0,171.0,222.0,277.0,326.0,361.0,426.0,407.0
167,Malaysia,MYS,,3.0,4.0,4.0,82.0,79.0,103.0,87.0,90.0,86.0,82.0,79.0,119.0,239.0,292.0,394.0,584.0,615.0,608.0,532.0,552.0,537.0,531.0,485.0,468.0,439.0,443.0
168,North America,NAC,1.0,12.0,14.0,16.0,370.0,249.0,151.0,86.0,67.0,60.0,203.0,224.0,435.0,455.0,507.0,807.0,1451.0,2704.0,2238.0,2467.0,3116.0,3887.0,4579.0,4859.0,5082.0,4912.0,353.0
169,Namibia,NAM,532.0,204.0,15.0,133.0,65.0,13.0,12.0,2.0,1902.0,701.0,2308.0,2297.0,1302.0,1293.0,1314.0,1226.0,1203.0,1128.0,985.0,921.0,1017.0,1073.0,1098.0,1143.0,1253.0,1277.0,1348.0
171,Niger,NER,,2.0,22008.0,22307.0,22024.0,10291.0,10361.0,2788.0,423.0,514.0,493.0,483.0,834.0,728.0,689.0,655.0,818.0,827.0,796.0,822.0,803.0,819.0,832.0,683.0,739.0,1390.0,1210.0
172,Nigeria,NGA,16.0,23.0,76.0,100.0,592.0,1939.0,4754.0,3059.0,3999.0,4441.0,5742.0,6084.0,24572.0,24428.0,23892.0,22128.0,13253.0,13904.0,14169.0,15609.0,15642.0,17141.0,18021.0,31176.0,90947.0,167989.0,229261.0
173,Nicaragua,NIC,52618.0,46789.0,44275.0,33052.0,28591.0,23938.0,22820.0,22494.0,21389.0,20573.0,5071.0,4399.0,4050.0,3983.0,1822.0,1463.0,1828.0,1900.0,1537.0,1478.0,1431.0,1468.0,1531.0,1538.0,1587.0,1476.0,1409.0
174,Netherlands,NLD,,,,,75.0,85.0,96.0,77.0,57.0,29.0,15.0,4.0,30.0,44.0,48.0,159.0,39.0,43.0,46.0,44.0,53.0,64.0,71.0,64.0,68.0,69.0,27.0
175,Norway,NOR,,,,,2.0,1.0,1.0,3.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,15.0,4.0,3.0,4.0,4.0,7.0,7.0,9.0,13.0,13.0,12.0,
176,Nepal,NPL,,,1.0,1.0,4.0,27.0,44.0,52.0,101.0,186.0,235.0,306.0,902.0,1231.0,1416.0,2065.0,2647.0,3364.0,4189.0,5108.0,5889.0,6854.0,7612.0,8110.0,8563.0,9063.0,8350.0
177,Nauru,NRU,,,,,,,,,,3.0,3.0,,,3.0,,,3.0,3.0,3.0,,,,,,,,
178,New Zealand,NZL,,,,,,,,,,,,,2.0,1.0,3.0,4.0,8.0,13.0,10.0,10.0,15.0,18.0,20.0,17.0,17.0,19.0,25.0
179,OECD members,OED,57612.0,51384.0,46099.0,84139.0,107222.0,99329.0,90223.0,77815.0,65789.0,57839.0,58497.0,59075.0,233247.0,222273.0,202907.0,208094.0,261817.0,244413.0,234210.0,165527.0,165960.0,160310.0,157302.0,88624.0,87700.0,83454.0,76915.0
180,Oman,OMN,,,,,3.0,10.0,10.0,10.0,11.0,11.0,5.0,5.0,19.0,11.0,18.0,12.0,39.0,43.0,56.0,64.0,63.0,60.0,65.0,26.0,29.0,37.0,20.0
181,Other small states,OSS,5668.0,14934.0,80805.0,91021.0,127871.0,125133.0,128203.0,120156.0,121845.0,277949.0,238263.0,189512.0,146188.0,109614.0,110716.0,112864.0,114115.0,116533.0,111849.0,97678.0,84833.0,68789.0,53788.0,40690.0,35108.0,33107.0,30691.0
182,Pakistan,PAK,486.0,525.0,1086.0,1422.0,4430.0,5277.0,7502.0,5985.0,6864.0,8015.0,10133.0,12324.0,23163.0,24389.0,25949.0,29913.0,25639.0,31858.0,32403.0,35132.0,39982.0,35952.0,49785.0,48686.0,335961.0,297899.0,105376.0
183,Panama,PAN,629.0,640.0,652.0,677.0,486.0,160.0,149.0,122.0,85.0,72.0,67.0,37.0,44.0,30.0,40.0,42.0,75.0,109.0,111.0,105.0,100.0,100.0,107.0,105.0,89.0,69.0,33.0
184,Peru,PER,256.0,475.0,727.0,1970.0,4332.0,5904.0,6696.0,6610.0,7066.0,7206.0,6944.0,6502.0,6430.0,5581.0,4769.0,4865.0,6985.0,7743.0,7339.0,6271.0,5834.0,5491.0,5212.0,4768.0,4343.0,3599.0,2589.0
185,Philippines,PHL,10.0,15.0,46.0,113.0,436.0,516.0,598.0,525.0,45598.0,45520.0,45482.0,45467.0,45608.0,412.0,434.0,465.0,886.0,1552.0,1354.0,993.0,970.0,952.0,986.0,724.0,670.0,593.0,421.0
186,Palau,PLW,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,2.0,
187,Papua New Guinea,PNG,,,,,,2000.0,2008.0,808.0,220.0,9.0,8.0,8.0,16.0,18.0,18.0,23.0,31.0,36.0,46.0,70.0,89.0,128.0,174.0,221.0,288.0,339.0,391.0
188,Poland,POL,25632.0,21643.0,14518.0,13390.0,35938.0,19732.0,12869.0,7294.0,1880.0,1245.0,865.0,3191.0,16712.0,15211.0,10677.0,19641.0,13513.0,2915.0,2391.0,2059.0,1764.0,1815.0,1640.0,1429.0,1310.0,1297.0,1144.0
189,Pre-demographic dividend,PRE,11492555.0,12098708.0,10560097.0,9755747.0,7708869.0,7087684.0,7162634.0,6757984.0,6591945.0,6851025.0,7802019.0,7717233.0,6328289.0,5654496.0,5795433.0,5328009.0,6406821.0,7952849.0,7196506.0,7107495.0,7318294.0,7239862.0,6646988.0,6456672.0,7232510.0,7745085.0,8420438.0
190,Puerto Rico,PRI,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,
191,"Korea, Dem. People’s Rep.",PRK,,,,,3.0,7.0,11.0,1.0,9.0,13.0,13.0,19.0,259.0,304.0,343.0,288.0,397.0,605.0,886.0,881.0,917.0,1052.0,1132.0,1167.0,1282.0,1101.0,1409.0
192,Portugal,PRT,,,,,25.0,25.0,217.0,213.0,18.0,15.0,23.0,17.0,62.0,55.0,47.0,74.0,25.0,32.0,36.0,31.0,30.0,28.0,32.0,32.0,31.0,28.0,5.0
193,Paraguay,PRY,19.0,8.0,9.0,14.0,63.0,51.0,44.0,20.0,21.0,18.0,19.0,8.0,31.0,32.0,37.0,44.0,105.0,102.0,101.0,77.0,86.0,91.0,101.0,95.0,94.0,91.0,63.0
194,West Bank and Gaza,PSE,8521.0,65177.0,95343.0,81474.0,82564.0,72768.0,80215.0,76821.0,77524.0,100602.0,110640.0,349161.0,428782.0,350568.0,350617.0,349673.0,334142.0,341237.0,340016.0,95201.0,93323.0,94150.0,94918.0,96044.0,97212.0,98018.0,97749.0
195,Pacific island small states,PSS,1.0,1.0,19.0,89.0,157.0,259.0,345.0,367.0,341.0,371.0,445.0,778.0,1140.0,1181.0,1382.0,1443.0,1779.0,1927.0,1975.0,1996.0,1967.0,1697.0,1429.0,1219.0,1027.0,989.0,882.0
196,Post-demographic dividend,PST,27358.0,29607.0,637722.0,834323.0,907038.0,1065080.0,1349297.0,1242395.0,1018178.0,999453.0,891464.0,794068.0,809362.0,665684.0,571305.0,356950.0,418226.0,231332.0,224287.0,194145.0,177433.0,170924.0,164432.0,104553.0,322893.0,395315.0,299611.0
197,French Polynesia,PYF,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
198,Qatar,QAT,,,,,49.0,30.0,18.0,19.0,23.0,8.0,1.0,,8.0,13.0,10.0,11.0,52.0,62.0,71.0,68.0,112.0,95.0,124.0,17.0,21.0,20.0,20.0
199,Romania,ROU,51282.0,27177.0,25118.0,23572.0,22278.0,16978.0,11871.0,8951.0,10921.0,8558.0,7348.0,6052.0,8847.0,8387.0,5916.0,11502.0,7234.0,5306.0,4756.0,4358.0,3934.0,3428.0,2807.0,2330.0,1918.0,1735.0,1190.0
200,Russian Federation,RUS,117736.0,155576.0,213802.0,243312.0,251393.0,207034.0,173723.0,198063.0,172730.0,28314.0,40310.0,45156.0,91626.0,96420.0,107975.0,103037.0,159381.0,93224.0,103061.0,109455.0,111948.0,109785.0,110588.0,74316.0,70562.0,67020.0,62737.0
201,Rwanda,RWA,361322.0,431240.0,434736.0,450462.0,2257573.0,1819366.0,469136.0,68003.0,77743.0,88944.0,119056.0,84513.0,75257.0,75263.0,63812.0,100264.0,92966.0,80964.0,72530.0,129109.0,115524.0,106833.0,97373.0,83955.0,79408.0,286366.0,286033.0
202,South Asia,SAS,6548528.0,6526699.0,4811737.0,3611828.0,3012792.0,2958743.0,2963692.0,2966999.0,2909068.0,2848536.0,3847613.0,4072784.0,2800281.0,2406923.0,2680150.0,2436405.0,2386475.0,3369159.0,3142120.0,3192116.0,3344561.0,2928157.0,2842313.0,2788749.0,3107801.0,3134526.0,2765416.0
203,Saudi Arabia,SAU,,,,7.0,183.0,260.0,242.0,358.0,362.0,233.0,77.0,35.0,109.0,236.0,214.0,151.0,617.0,753.0,712.0,633.0,667.0,745.0,818.0,584.0,630.0,701.0,897.0
204,Sudan,SDN,523998.0,196242.0,267767.0,393871.0,405135.0,445280.0,475305.0,364589.0,390013.0,485460.0,494363.0,489950.0,508877.0,606242.0,730650.0,693632.0,686311.0,523032.0,419248.0,368195.0,387288.0,500014.0,568943.0,648942.0,665967.0,627087.0,650588.0
205,Senegal,SEN,60006.0,25138.0,15466.0,22601.0,25622.0,17592.0,17631.0,17163.0,9716.0,11606.0,11088.0,8559.0,12069.0,8351.0,8332.0,8671.0,15163.0,15896.0,16006.0,16305.0,16267.0,17722.0,18724.0,19822.0,23118.0,21280.0,23019.0
206,Singapore,SGP,,,1.0,1.0,9.0,9.0,19.0,22.0,23.0,25.0,22.0,16.0,39.0,35.0,36.0,39.0,111.0,116.0,109.0,80.0,76.0,67.0,68.0,65.0,59.0,55.0,33.0
207,Solomon Islands,SLB,,,,,,34.0,34.0,34.0,34.0,34.0,34.0,42.0,54.0,60.0,61.0,27.0,38.0,48.0,52.0,66.0,75.0,72.0,61.0,61.0,70.0,71.0,66.0
208,Sierra Leone,SLE,9.0,142614.0,253592.0,311183.0,275302.0,379495.0,375104.0,329327.0,406077.0,490061.0,402807.0,179113.0,141475.0,70580.0,41802.0,40477.0,42863.0,32127.0,32536.0,15417.0,11275.0,8002.0,6202.0,5311.0,4993.0,4904.0,4628.0
209,El Salvador,SLV,30019.0,33049.0,30855.0,26124.0,30735.0,23535.0,19639.0,17126.0,12591.0,12410.0,7756.0,7150.0,6632.0,5658.0,4497.0,4281.0,6388.0,6022.0,5151.0,5051.0,4976.0,6720.0,8171.0,9635.0,10965.0,14778.0,19595.0
210,San Marino,SMR,,,,,,,,2.0,4.0,4.0,4.0,,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,
211,Somalia,SOM,470174.0,732594.0,812195.0,574617.0,631426.0,638698.0,636985.0,608094.0,557959.0,524613.0,475655.0,440134.0,432316.0,402336.0,389314.0,395553.0,464038.0,457356.0,561155.0,678309.0,770154.0,1077048.0,1136719.0,1121770.0,1106434.0,1123156.0,1012277.0
212,Serbia,SRB,1745.0,45823.0,90081.0,58253.0,54976.0,86120.0,103967.0,106654.0,115292.0,172509.0,146748.0,144231.0,327587.0,296632.0,236999.0,189989.0,174027.0,165643.0,185935.0,195626.0,183289.0,161671.0,158908.0,48725.0,45733.0,38628.0,36898.0
213,Sub-Saharan Africa (excluding high income),SSA,5746923.0,5169282.0,5426048.0,6326181.0,6727873.0,5624429.0,4354635.0,3541542.0,3414123.0,3618312.0,3769239.0,3464763.0,3525331.0,3312475.0,3221956.0,3096373.0,3039883.0,2748098.0,2628065.0,2666094.0,2810410.0,3371878.0,3535386.0,3702757.0,4479595.0,5233795.0,6009109.0
