,Country,Country Code,1962 Imports,1963 Imports,1964 Imports,1965 Imports,1966 Imports,1967 Imports,1968 Imports,1969 Imports,1970 Imports,1971 Imports,1972 Imports,1973 Imports,1974 Imports,1975 Imports,1976 Imports,1977 Imports,1978 Imports,1979 Imports,1980 Imports,1981 Imports,1982 Imports,1983 Imports,1984 Imports,1985 Imports,1986 Imports,1987 Imports,1988 Imports,1989 Imports,1990 Imports,1991 Imports,1992 Imports,1993 Imports,1994 Imports,1995 Imports,1996 Imports,1997 Imports,1998 Imports,1999 Imports,2000 Imports,2001 Imports,2002 Imports,2003 Imports,2004 Imports,2005 Imports,2006 Imports,2007 Imports,2008 Imports,2009 Imports,2010 Imports,2011 Imports,2012 Imports,2013 Imports,2014 Imports,2015 Imports,2016 Imports,1962 Exports,1963 Exports,1964 Exports,1965 Exports,1966 Exports,1967 Exports,1968 Exports,1969 Exports,1970 Exports,1971 Exports,1972 Exports,1973 Exports,1974 Exports,1975 Exports,1976 Exports,1977 Exports,1978 Exports,1979 Exports,1980 Exports,1981 Exports,1982 Exports,1983 Exports,1984 Exports,1985 Exports,1986 Exports,1987 Exports,1988 Exports,1989 Exports,1990 Exports,1991 Exports,1992 Exports,1993 Exports,1994 Exports,1995 Exports,1996 Exports,1997 Exports,1998 Exports,1999 Exports,2000 Exports,2001 Exports,2002 Exports,2003 Exports,2004 Exports,2005 Exports,2006 Exports,2007 Exports,2008 Exports,2009 Exports,2010 Exports,2011 Exports,2012 Exports,2013 Exports,2014 Exports,2015 Exports,2016 Exports
0,Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,0.927829199241,0.664215005265,0.376194027647,0.490407737598,,,,3.34108272337,3.41989422169,3.0569841125,2.67189261163,,,,,,,0.378770414394,,,,0.647521458105,0.826171059668,0.826909485638,0.253546899988,0.303565158308,0.397703079677,0.49610430871,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0893926433966,0.0122596937614,0.0809986783737,0.0042851184429,,,,1.8924420563,1.10944858948,0.541747673812,0.479703606472,,,,,,,0.31690345765,,,,0.025991104914,0.158747992386,0.0982491974705,0.0323680197693,0.0475703152651,0.0552144894812,0.092621379192,
1,Afghanistan,AFG,0.966616617277,1.39443796431,1.49823370063,1.08015556482,0.67290859209,0.827609502359,1.03516311473,1.46489906384,1.46033227016,0.982216088505,1.76366670367,3.47372542711,3.11281987019,1.54504441611,1.75299373071,1.31193621682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00237097073843,,,,,,,,,53.7558524176,61.10060501,54.4371834676,45.7608956055,51.7149818174,46.3557263134,38.0920873525,38.0507993572,35.8240038673,45.6563502187,33.9379417553,26.8930543878,31.4757266826,33.6726530925,39.3901843113,36.8364501195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0331395486,7.5596730492,10.7670455668,12.8790088017,0.236604473774,0.0369922318818,0.0475230217083,14.7990659661,
2,Angola,AGO,1.69500519842,,,,,,,0.909028467819,0.940165085928,0.994832919003,1.13996644368,1.35911695739,1.53948940476,,,,,,,,,,,0.806703613508,,,,,,,,,,,,,,,,,,,,,,0.685840184645,,0.683031529903,0.648022234274,0.632824742372,0.658597547063,0.520684904495,0.886548351807,0.793310841211,,13.6643564935,,,,,,,9.38106566314,8.22580212781,9.81314328021,6.97465224441,8.18450948275,7.14292121989,,,,0.416865098758,0.486946665068,0.170063438669,0.164998932515,,,,,,,,,0.00186685103667,,,,,,,,,,,,,,,,,0.000749818069113,,0.000464839405762,0.000379226345313,,,0.00197435994221,0.00844073976962,0.028653668454,
3,Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.929813340467,1.18561658448,1.46323227951,3.76524145519,0.93748665719,0.863882881869,0.964128214918,0.999191726269,1.07049398537,1.10858497983,1.1893330254,0.932476368686,0.839335825903,0.994704093849,0.999252301722,0.950213011363,0.906949318909,0.953042303349,0.644753212168,0.862028448936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.02621667857,14.0418415589,8.75611417893,4.47198911673,5.90753986504,5.52143070559,6.51195752059,5.13150730781,4.46365124033,13.8942036954,13.0842414278,3.37840747256,7.65302138842,2.98016812788,2.39093820686,2.5688237744,2.39756962925,2.30292649424,1.26911305101,2.27635757399,
4,Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656790001681,0.59820965758,0.533134155293,0.52375238323,0.560631005988,0.486614207121,0.460160747253,0.410605322086,0.414015703836,0.400673169431,,0.370903260554,0.396383623636,0.421742999694,0.421147153795,0.382151881569,0.404421451374,0.390304119303,0.404553316564,0.439478296709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.56572141495,1.08165403395,0.718028094385,0.940321051332,0.952541973396,1.3668250806,0.75340707613,0.788816906862,0.685623921695,0.607231017108,0.509891745167,0.48415584936,0.641821924044,0.804129385422,0.892749269881,1.68683032329,1.86538866349,1.76881933976,1.49560536669,1.4167052364,,
5,Arab World,ARB,,,,,,,,,,,,,,2.48401465984,2.69452713738,,1.98320581389,1.95140126845,2.38339850407,1.93835576431,1.83796569864,1.98314485975,,,,,,2.30530382008,,2.01326054045,1.8843708686,1.4953401782,,,,,,1.60895899185,1.56629830251,1.50030273806,1.7595695038,1.8815146893,1.81923901751,1.39983652274,,1.14665811357,1.10238653516,,1.43391294797,,1.09744165684,1.00411555018,1.04943345726,,,,,,,,,,,,,,,4.93546173601,4.53642657514,,,2.23613945296,2.14679507934,,,,,,,,,,0.913631965497,,0.375698077308,0.972569929946,0.522645677852,,,,,1.08632083341,0.639124083108,0.394022481352,0.40780136332,0.609102107741,,0.542609701466,0.300601688809,0.239324154511,0.133741234203,0.134159336765,0.206819997954,0.267467738796,0.212148648942,0.169895525967,0.135987000276,0.141836720758,0.204536236161,
6,United Arab Emirates,ARE,,,,,,,,,,,,,,,,,0.965693886794,0.73351166857,1.37453859229,0.925815107465,0.772242261565,0.904131775249,,,,,,0.766308232059,,0.262263637909,0.285241872611,0.218208652842,,,,,,0.5909781114,0.750801691523,0.777365604248,,,,0.573164292363,,0.543915096849,0.447647250186,,,,0.502868813749,0.462012948814,0.578244146506,,,,,,,,,,,,,,,,,,,0.177922972015,0.179252658415,,,,0.130726704178,,,,,,1.11056133275,,0.400768642036,0.472878983501,0.239384105622,,,,,,0.0759393583692,0.0350731520776,0.0643424056611,,,,0.0446928809346,,0.050519358681,0.0353237116045,,,,0.0575340358507,0.0647470340583,0.065478471446,,
7,Argentina,ARG,6.14694704338,7.56826997789,10.8130191803,12.6011795044,11.4190834946,9.62590051108,10.9644307394,9.74049005896,8.81445509413,8.68460505229,7.22628587432,7.2010077354,7.61088396127,6.53783031608,5.2557086336,4.16724380006,4.48965314798,4.688576372,3.7106483705,3.40746264688,4.76315081574,5.30462301201,5.40075120999,3.47424954707,4.75142055886,4.21850361743,3.58856211043,3.95162017623,3.95790645588,2.81140746243,1.90621351506,1.92213747352,1.61563704283,2.03369548395,1.91321902628,1.54539819834,1.49708490578,1.50404456693,1.48441965569,1.50856167368,2.40306191213,2.48484254462,1.78913526092,1.50271783587,1.47588503339,1.23823502325,1.0581182749,1.16345565368,1.08403353668,1.03041473118,1.02949217043,0.865039076588,0.888637144486,0.929643833919,,23.0882319948,20.4592700397,14.5168369254,11.8245370201,14.7022024732,14.0403052317,13.5535162526,11.586769765,10.877486254,7.13551534068,7.13727567331,7.09248596109,4.25219121081,5.9238179447,6.07002788122,6.54956820783,7.00075980667,4.8288684043,6.23054040699,4.96041792779,4.48245360242,3.09285990099,3.65363714974,3.51886326155,2.97098075828,3.53893823636,4.73811931899,3.87024397369,4.31408305773,3.77685542894,2.77487734542,2.10604556761,3.36070203247,4.31885234986,3.81254273671,2.84255175764,2.11497918209,2.10032758553,1.7328704508,1.61817759344,1.55706167232,1.52238599887,1.63590273825,1.36711031615,1.28834451919,1.25066448711,0.984658241611,1.08175096076,1.22550362792,1.2839087773,0.951907122886,0.92706488706,1.074565161,1.02599040832,
8,Armenia,ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.447905342993,,1.25416668961,0.945613821361,1.06465426025,1.12713917935,1.03194855999,1.00425361258,0.842936140728,0.84476614667,0.823176239606,1.67988670775,1.08519276131,0.910834669307,1.12069558608,1.20263872652,1.12217873684,1.55960834183,1.88502765616,2.04748375496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.65559154795,,3.93331982802,5.13253275153,7.34981559137,1.58852558241,0.874418729467,1.67835131033,0.967560074328,2.97724982432,2.99643929412,1.5248552861,0.927271348859,1.12148997321,0.0546339822925,0.163721945926,0.253296431651,0.34220437641,0.621009012112,0.557704443635
9,Antigua and Barbuda,ATG,,,,,,,,,,,,2.19520099948,1.40312406778,1.24506123715,,0.604581268679,1.75392028466,,,2.58515502011,,,,,,,,,,,,,,,,,,2.74062483343,2.41943809093,,,,,1.71049955262,1.79244615342,2.38874708083,,1.15151414124,1.16803572249,1.20972279493,1.85514074659,1.67300936935,1.34563943831,1.89122726852,1.75336017838,,,,,,,,,,,,0.940966929622,0.624374202888,1.59197149521,,12.2556402818,5.92633117201,,,0.338660501576,,,,,,,,,,,,,,,,,,0.0240766444761,1.37052849154,,,,,0.116769554934,,2.53942123818,,0.0,0.0,2.41146762797,0.0191841539395,4.21995273953,0.211223333078,3.79765577469,2.76544083862
