"Data Source","World Development Indicators",

"Last Updated Date","2017-09-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016",
"Aruba","ABW","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.089392643396603","0.0122596937613653","0.0809986783737454","0.00428511844289681","","","","1.89244205629887","1.10944858947898","0.541747673811703","0.479703606472381","","","","","","","0.316903457650212","","","","0.0259911049139854","0.158747992385788","0.0982491974704937","0.032368019769279","0.0475703152650846","0.055214489481225","0.0926213791920241","",
"Afghanistan","AFG","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","53.7558524175886","61.1006050099681","54.4371834675859","45.7608956055136","51.7149818174326","46.3557263134116","38.0920873524582","38.050799357188","35.8240038673433","45.656350218737","33.9379417552828","26.8930543878198","31.4757266826244","33.6726530924795","39.3901843112899","36.8364501194565","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.03313954860083","7.55967304919917","10.7670455667972","12.8790088017208","0.236604473774484","0.0369922318818034","0.0475230217083274","14.7990659661172","",
"Angola","AGO","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","13.6643564934827","","","","","","","9.38106566313735","8.22580212780947","9.81314328021136","6.97465224441031","8.18450948274822","7.14292121989031","","","","0.416865098757942","0.486946665068001","0.1700634386693","0.164998932514936","","","","","","","","","0.00186685103667046","","","","","","","","","","","","","","","","","0.000749818069113222","","0.000464839405761505","0.000379226345312959","","","0.00197435994220663","0.00844073976962238","0.0286536684540127","",
"Albania","ALB","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.02621667857028","14.041841558859","8.75611417892556","4.47198911672654","5.90753986504012","5.52143070559097","6.51195752058985","5.13150730780602","4.46365124033259","13.8942036954001","13.0842414277587","3.37840747255836","7.65302138841682","2.98016812788435","2.39093820685545","2.56882377439947","2.39756962925497","2.30292649424158","1.26911305101042","2.27635757399194","",
"Andorra","AND","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.56572141495308","1.08165403394503","0.718028094384674","0.940321051332112","0.952541973396074","1.36682508060433","0.753407076130237","0.788816906862168","0.685623921695271","0.607231017108109","0.50989174516674","0.484155849359564","0.641821924043826","0.804129385422135","0.892749269880778","1.68683032329121","1.86538866349418","1.76881933975622","1.49560536669236","1.4167052364043","","",
"Arab World","ARB","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","4.93546173601136","4.5364265751401","","","2.23613945295985","2.14679507934231","","","","","","","","","","0.913631965496919","","0.375698077307789","0.972569929945801","0.522645677851868","","","","","1.08632083340851","0.639124083108145","0.39402248135169","0.407801363320485","0.609102107741366","","0.542609701466324","0.300601688808733","0.239324154511119","0.133741234203044","0.134159336764833","0.206819997953683","0.267467738796178","0.212148648941526","0.169895525966905","0.135987000275704","0.141836720758237","0.204536236161208","",
"United Arab Emirates","ARE","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","0.177922972015361","0.179252658414966","","","","0.130726704177922","","","","","","1.11056133274517","","0.400768642035643","0.472878983500939","0.239384105621569","","","","","","0.0759393583691604","0.0350731520776273","0.0643424056610887","","","","0.044692880934625","","0.0505193586810144","0.0353237116045096","","","","0.0575340358506592","0.0647470340582714","0.0654784714459701","","",
"Argentina","ARG","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","23.0882319947879","20.4592700397019","14.5168369254243","11.8245370201329","14.7022024732423","14.0403052316791","13.5535162525852","11.5867697649755","10.8774862539553","7.13551534067796","7.13727567330773","7.09248596109181","4.25219121081337","5.92381794470436","6.07002788122183","6.54956820782883","7.0007598066672","4.82886840430187","6.23054040698877","4.96041792779237","4.48245360242477","3.092859900993","3.65363714974461","3.51886326154558","2.9709807582774","3.53893823636443","4.73811931899491","3.87024397368539","4.31408305772595","3.77685542893846","2.77487734542219","2.10604556761064","3.36070203246999","4.31885234985934","3.81254273670849","2.84255175764216","2.11497918208723","2.10032758553289","1.73287045079909","1.61817759344408","1.55706167232191","1.52238599886509","1.63590273824728","1.3671103161538","1.28834451919028","1.25066448710994","0.98465824161082","1.08175096075618","1.22550362792108","1.28390877729986","0.951907122886194","0.927064887059762","1.07456516099744","1.02599040832211","",
"Armenia","ARM","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.65559154794694","","3.93331982802374","5.13253275153381","7.34981559136917","1.58852558240845","0.874418729466618","1.67835131033342","0.967560074328119","2.97724982431728","2.99643929411971","1.52485528610467","0.927271348858722","1.121489973213","0.0546339822925018","0.163721945925514","0.25329643165078","0.342204376410457","0.621009012112066","0.557704443635249",
"American Samoa","ASM","Agricultural raw materials exports (% of merchandise exports)","TX.VAL.AGRI.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
